Справочник "Номенклатура"			
 			
Код	Наименование	Единица измерения	Срок годности, суток
1576	Пиво "АЛИВАРИЯ ЗОЛОТОЕ" (ст,б) 0.45л	шт	0
862	Пиво "АЛИВАРИЯ ПРАЗДНИЧНОЕ" (св,ст) 0.5л	шт	0
885	Пиво "АЛИВАРИЯ ПРАЗДНИЧНОЕ" (св,ст) 0.5л	шт	0
883	Пиво "АЛИВАРИЯ ЮБИЛЕЙНОЕ" (тем,ст) 0.5л	шт	0
1415	Пиво "БАГЕМСКАЕ ПАРАВОЕ" (ст,бут) 0.5л	шт	0
1573	Салат "КАПУСТА ПО-ДОМАШНЕМУ" РБ 380гр	шт	0
875	Салат "МОРКОВЬ ПО-КОРЕЙСКИ" (эк.кл) 0.73 кг	шт	0
1571	Снеки "ОНЕГА" (сметана с луком) 70г	шт	0
1578	Сок "ДОБРЫЙ" (яблоко-виноград) 0,2л	шт	0
879	Сухарики "ХРУСТИМ" (багет,со вк. краба) 60г	шт	0
1572	Сухарики "ХРУСТИМ" (чиабат/моц/песто)) 55г	шт	0
873	Томат РБ 1 кг	кг	0
1524	Филе цыплят-бройлеров замороженное, индивидуальная упаковка	кг	0
1418	Хлеб "МАРУСИН" нар.ПАК.) 0,4кг	шт	0
890	Хлеб "РЖАНОЙ КРАЙ" (уп,нарез) 0,25кг	шт	0
880	Чипсы "LAY`S" (сметана/зелень) 37г	шт	0
439	Тара под товаром		0
440	Многооборотная тара (ящик)	кг	0
441	Подвес	кг	0
442	Поддон деревянный б/у	шт	0
443	Поддон пластиковый б/у	шт	0
444	Ящик №13	шт	0
445	Ящик №18	шт	0
446	Ящик №27	шт	0
1568	Ящик(возвратная тара)	шт	0
1	Товары		0
2	Говядина на кости		0
3	Говядина в п/т, ч/в парное		0
4	Говядина 1 кат. в п/т. или четв. без выр.	кг	0
5	Говядина 2 кат. в п/т. или четв.	кг	0
1555	Говядина 2 кат. в п/т. или четв. для П/П	кг	0
6	Говядина НИЗКАЯ в п/т или в четв.	кг	0
1612	Говядина НИЗКАЯ в п/т или в четв. П/П	кг	0
549	Говядина ОТЛИЧНАЯ  в п/т или в четв. с выр	кг	0
7	Говядина ОТЛИЧНАЯ  в п/т или в четв.без выр	кг	0
672	Говядина ОТЛИЧНАЯ  в п/т или в четв.без выр для П/П	кг	0
